Team,Generation,Best_Fitness,Avg_Fitness,Epoch,Test
0, 36, 113, 237.644, 5, 0
0, 37, 113, 233.266, 5, 0
0, 38, 114, 246.48, 5, 0
0, 39, 115, 229.174, 5, 0
0, 40, 116, 225.73, 5, 0
0, 41, 116, 220.202, 5, 0
0, 42, 113, 222.518, 5, 0
0, 43, 112, 214.57, 5, 0
0, 44, 109, 214.294, 5, 0
0, 45, 110, 224.104, 5, 0
0, 46, 110, 231.298, 5, 0
0, 47, 106, 232.326, 5, 0
0, 48, 106, 202.3, 5, 0
0, 49, 106, 234.408, 5, 0
1, 0, 74, 364.468, 5, 0
1, 1, 61, 328.5, 5, 0
1, 2, 74, 328.792, 5, 0
1, 3, 79, 300.204, 5, 0
1, 4, 77, 337.568, 5, 0
1, 5, 73, 328.448, 5, 0
1, 6, 72, 324.936, 5, 0
1, 7, 72, 324.924, 5, 0
1, 8, 73, 340.256, 5, 0
1, 9, 63, 313.712, 5, 0
1, 10, 61, 305.684, 5, 0
1, 11, 63, 304.516, 5, 0
1, 12, 70, 308.456, 5, 0
1, 13, 70, 296.332, 5, 0
1, 14, 73, 316.332, 5, 0
1, 15, 70, 277.884, 5, 0
1, 16, 70, 252.2, 5, 0
1, 17, 62, 262.912, 5, 0
1, 18, 60, 254.232, 5, 0
1, 19, 60, 236.788, 5, 0
1, 20, 60, 233.276, 5, 0
1, 21, 60, 265.74, 5, 0
1, 22, 62, 251.916, 5, 0
1, 23, 60, 293.928, 5, 0
1, 24, 62, 270.9, 5, 0
1, 25, 61, 260.172, 5, 0
1, 26, 62, 262.048, 5, 0
1, 27, 62, 260.4, 5, 0
1, 28, 62, 257.464, 5, 0
1, 29, 61, 229.88, 5, 0
1, 30, 62, 242.832, 5, 0
1, 31, 62, 255.848, 5, 0
1, 32, 62, 234.668, 5, 0
1, 33, 61, 237.064, 5, 0
1, 34, 61, 221.432, 5, 0
1, 35, 62, 180.012, 5, 0
1, 36, 60, 220.288, 5, 0
1, 37, 62, 220.868, 5, 0
1, 38, 60, 220.116, 5, 0
1, 39, 61, 187.452, 5, 0
1, 40, 61, 187.604, 5, 0
1, 41, 61, 168.608, 5, 0
1, 42, 61, 187.336, 5, 0
1, 43, 62, 191.84, 5, 0
1, 44, 61, 202.988, 5, 0
1, 45, 60, 199.712, 5, 0
1, 46, 60, 208.612, 5, 0
1, 47, 60, 237.328, 5, 0
1, 48, 61, 193.516, 5, 0
1, 49, 62, 220.452, 5, 0
0, 0, 118, 647.81, 6, 0
0, 1, 118, 542.574, 6, 0
0, 2, 112, 337.26, 6, 0
0, 3, 118, 279.698, 6, 0
0, 4, 114, 289.724, 6, 0
0, 5, 116, 282.972, 6, 0
0, 6, 117, 267.504, 6, 0
0, 7, 117, 277.424, 6, 0
0, 8, 115, 264.226, 6, 0
0, 9, 115, 275.312, 6, 0
0, 10, 114, 259.518, 6, 0
0, 11, 117, 267.274, 6, 0
0, 12, 114, 266.564, 6, 0
0, 13, 114, 272.576, 6, 0
0, 14, 110, 292.698, 6, 0
0, 15, 112, 280.24, 6, 0
0, 16, 112, 266.128, 6, 0
0, 17, 114, 265.004, 6, 0
0, 18, 114, 284.678, 6, 0
0, 19, 112, 269.162, 6, 0
0, 20, 109, 279.368, 6, 0
0, 21, 112, 279.784, 6, 0
0, 22, 111, 267.49, 6, 0
0, 23, 111, 263.55, 6, 0
0, 24, 109, 265.814, 6, 0
0, 25, 108, 260.852, 6, 0
0, 26, 108, 250.588, 6, 0
0, 27, 108, 300.798, 6, 0
0, 28, 110, 278.682, 6, 0
0, 29, 105, 283.592, 6, 0
0, 30, 107, 278.5, 6, 0
0, 31, 110, 264.102, 6, 0
0, 32, 110, 263.094, 6, 0
0, 33, 108, 273.598, 6, 0
0, 34, 108, 268.11, 6, 0
0, 35, 104, 249.946, 6, 0
0, 36, 103, 256.02, 6, 0
0, 37, 103, 246.772, 6, 0
0, 38, 102, 255.906, 6, 0
0, 39, 102, 264.064, 6, 0
0, 40, 103, 267.848, 6, 0
0, 41, 106, 271.274, 6, 0
0, 42, 103, 249.754, 6, 0
0, 43, 106, 257.4, 6, 0
0, 44, 102, 272.064, 6, 0
0, 45, 101, 267.602, 6, 0
0, 46, 101, 251.454, 6, 0
0, 47, 101, 260.146, 6, 0
0, 48, 102, 258.47, 6, 0
0, 49, 100, 264.392, 6, 0
1, 0, 36, 197.268, 6, 0
1, 1, 36, 205.104, 6, 0
1, 2, 39, 208.576, 6, 0
1, 3, 36, 163.736, 6, 0
1, 4, 39, 148.888, 6, 0
1, 5, 37, 141.624, 6, 0
1, 6, 36, 196.376, 6, 0
1, 7, 12, 136.468, 6, 0
1, 8, 36, 127.464, 6, 0
1, 9, 14, 150.7, 6, 0
1, 10, 12, 152.264, 6, 0
1, 11, 36, 153.076, 6, 0
1, 12, 36, 155.208, 6, 0
1, 13, 29, 165.156, 6, 0
1, 14, 27, 170.676, 6, 0
1, 15, 14, 141.676, 6, 0
1, 16, 14, 151.248, 6, 0
1, 17, 14, 135.236, 6, 0
1, 18, 14, 146.808, 6, 0
1, 19, 14, 139.792, 6, 0
1, 20, 14, 128.048, 6, 0
1, 21, 14, 179.9, 6, 0
1, 22, 14, 203.696, 6, 0
1, 23, 14, 197.62, 6, 0
1, 24, 35, 179.576, 6, 0
1, 25, 35, 199.16, 6, 0
1, 26, 29, 159.008, 6, 0
1, 27, 29, 171.28, 6, 0
1, 28, 14, 143.496, 6, 0
1, 29, 28, 152.88, 6, 0
1, 30, 35, 152.928, 6, 0
1, 31, 35, 134.748, 6, 0
1, 32, 35, 134.18, 6, 0
1, 33, 35, 139.552, 6, 0
1, 34, 35, 149.0, 6, 0
1, 35, 35, 155.524, 6, 0
1, 36, 35, 141.244, 6, 0
1, 37, 35, 160.088, 6, 0
1, 38, 14, 153.624, 6, 0
1, 39, 35, 150.652, 6, 0
1, 40, 35, 150.352, 6, 0
1, 41, 35, 153.82, 6, 0
1, 42, 35, 180.996, 6, 0
1, 43, 14, 169.092, 6, 0
1, 44, 35, 155.452, 6, 0
1, 45, 35, 165.868, 6, 0
1, 46, 35, 148.972, 6, 0
1, 47, 35, 124.308, 6, 0
1, 48, 14, 145.176, 6, 0
1, 49, 35, 120.168, 6, 0
0, 0, 102, 594.75, 7, 0
0, 1, 102, 432.646, 7, 0
0, 2, 103, 340.178, 7, 0
0, 3, 103, 336.446, 7, 0
0, 4, 103, 328.314, 7, 0
0, 5, 103, 325.712, 7, 0
0, 6, 104, 297.118, 7, 0
0, 7, 103, 307.2, 7, 0
0, 8, 103, 321.016, 7, 0
0, 9, 102, 300.348, 7, 0
0, 10, 100, 321.374, 7, 0
0, 11, 100, 319.118, 7, 0
0, 12, 101, 317.072, 7, 0
0, 13, 102, 326.202, 7, 0
0, 14, 102, 331.392, 7, 0
0, 15, 104, 319.316, 7, 0
0, 16, 103, 335.006, 7, 0
0, 17, 103, 331.392, 7, 0
0, 18, 102, 340.574, 7, 0
0, 19, 102, 334.624, 7, 0
0, 20, 101, 318.31, 7, 0
0, 21, 97, 326.75, 7, 0
0, 22, 97, 324.732, 7, 0
0, 23, 95, 318.158, 7, 0
0, 24, 95, 321.37, 7, 0
0, 25, 94, 301.53, 7, 0
0, 26, 94, 307.814, 7, 0
0, 27, 96, 326.436, 7, 0
0, 28, 96, 321.294, 7, 0
0, 29, 94, 301.194, 7, 0
